,Name,Description,Name_Tokens,Description_Tokens,is_French,is_Italian,is_Polish,is_Mexican,is_Spanish
384,Bagna Cauda," Meaning ""warm bath"", this is a dip made of anchovies, olive oil and garlic. Unlike the French anchoiade, this is served warm and is not emulsified. Bread and raw vegetables are served with this dip.","['Bagna', 'Cauda']","['Bagna', 'Cauda']",1,0,0,0,0
385,Baguette," A long, narrow loaf of French bread, usually with a crispy brown crust and a soft, but chewy interior.",['Baguette'],['Baguette'],1,0,0,0,0
386,Bain Marie," [French] Simply a water bath. It consists of placing a container of food in a large, shallow pan of warm water, which surrounds the food with gentle heat. The food may be cooked in this manner either in an oven or on top of a range. This technique is designed to cook delicate dishes such as custards, sauces and savory mousses without breaking or curdling them. It can also be used to keep foods warm.","['Bain', 'Marie']","['Bain', 'Marie']",1,0,0,0,0
400,Baking potato," This term refers to Idaho and russet potatoes, the big potatoes with rough, brown skin and numerous eyes. These potatoes are low in moisture and high in starch, which makes them ideal for baking. They also make good mashed potatoes and French fries.","['Baking', 'potato']","['Baking', 'potato']",1,0,0,0,0
458,Batarde, A French butter sauce made with egg yolks.,['Batarde'],['Batarde'],1,0,0,0,0
491,Beignet, A French or Creole version of doughnuts. Dough or batter is deep fried and dusted with powdered sugar or glazed with a flavored syrup.,['Beignet'],['Beignet'],1,0,0,0,0
496,Belle Helene," Best known as the name of a dessert with poached pears, ice cream, and chocolate sauce. It is also a term used in French cookery as a name for a garnish to grilled meat dishes.","['Belle', 'Helene']","['Belle', 'Helene']",1,0,0,0,0
505,Bercy, A French sauce with white wine and shallots as a base.,['Bercy'],['Bercy'],1,0,0,0,0
568,Blanquette," [French] A white, creamy stew of veal, chicken, rabbit or lamb with small onions and mushrooms. The sauce is thickened with roux and enriched with cream.",['Blanquette'],['Blanquette'],1,0,0,0,0
584,Blue (Bleu) Cheese," A semi-soft, blue-veined cheese produced from cow's milk. It has a very strong, pungent aroma. Similar in flavor to French Roquefort and Italian Gorgonzola.","['Blue', '(Bleu)', 'Cheese']","['Blue', '(Bleu)', 'Cheese']",1,1,0,0,0
608,Bolillos, Mexican hard rolls which are similar to French bread; also a short rolling pin 2 inches in diameter and 8 inches or more long which rolls tortillas to a uniform thickness.,['Bolillos'],['Bolillos'],1,0,0,1,0
640,Bouchee, [French] A small round puff pastry shell baked blind used for sweet or savory fillings.,['Bouchee'],['Bouchee'],1,0,0,0,0
652,Bouquet garni," A French-invented sachet of herbs, traditionally tied together, but now sold in small muslin bags. Usually includes parsley, thyme, a bay leaf and some rosemary, but may also include marjoram, garlic, rosemary, etc. Variations may include fennel, leeks, celery leaves, citrus rinds, garlic and black pepper. Added to stews, soups and sauces for flavoring; the bundle is easily removed when desired.","['Bouquet', 'garni']","['Bouquet', 'garni']",1,0,0,0,0
653,Bourguignon," [French] Foods cooked in the style of Burgundy. This includes red wine, mushrooms, pearl onions, and bacon. Also spelled; Bourgogne or Bourguignonne.",['Bourguignon'],['Bourguignon'],1,0,0,0,0
656,Boursin Cheese," A French triple cream cheese with a soft texture; made from cow's milk and often flavored with herbs, garlic or pepper.","['Boursin', 'Cheese']","['Boursin', 'Cheese']",1,0,0,0,0
702,Brioche," [French] A large light, very rich, yeast roll made with lots of butter and eggs. Brioche is baked in many shapes though the brioche e tete is best known. The dough can be flavored with nuts or candied fruit, as well as herbs and spices. It may also be used to wrap foods like coulibiac. Slices of toasted brioche are the perfect companion to foie gras and gravlax. Brioche is very similar to the Jewish Challah.",['Brioche'],['Brioche'],1,0,0,0,0
710,Brochette," [French] A skewer. Food cooked ""en brochette"" is cooked on a skewer.",['Brochette'],['Brochette'],1,0,0,0,0
730,Brulee, [French] Finishing method applied to dishes such as cream custards finished with caramelized sugar glaze. Can be done with a torch or under the broiler.,['Brulee'],['Brulee'],1,0,0,0,0
799,Cajun, Cooking influenced by southern U.S. and French cuisine.,['Cajun'],['Cajun'],1,0,0,0,0
829,Camembert Cheese," A soft, surface-ripened French cheese, similar to brie. The cheese is famous for its gray, felt-like rind, slightly bitter flavor and complex aroma. When overripe, camembert will be runny, bitter and rank. When ripe, the cheese should ooze thickly, look plump and feel soft to the touch.","['Camembert', 'Cheese']","['Camembert', 'Cheese']",1,0,0,0,0
836,Canape," [French] plain or toasted bread or crackers topped with a savory mixture. Usually served as appetizers, with cocktails, snacks or for lunch. They may be served hot or cold, they are often elaborately garnished.",['Canape'],['Canape'],1,0,0,0,0
837,Canard, [French] duck.,['Canard'],['Canard'],1,0,0,0,0
848,Caneton, [French] duckling.,['Caneton'],['Caneton'],1,0,0,0,0
957,Casserole," [French] A meat, fish and/or vegetable dish which is cooked and served in the same pot.",['Casserole'],['Casserole'],1,0,0,0,0
976,Cayenne," Cayenne pepper is used to describe almost any hot, finely ground red chile pepper, but it was named after several tropical varieties that originated in Cayenne in French Guiana. A dried chile, they is also known as ginnie peppers; 3 to 8 inches long and slender, measuring about 1/2 inch across; fiery chiles that can be used in soups and stews, but are most commonly ground and used as a seasoning; chiles de arbol are closely related and may be substituted.",['Cayenne'],['Cayenne'],1,0,0,0,0
1010,Chafing Dish," A pan (usually metal) containing food, nestled inside a larger pan containing water. The ensemble sits directly over a heat source, which keeps the food warm; used mostly for buffets. Also known as rechaud, which is French for reheat.","['Chafing', 'Dish']","['Chafing', 'Dish']",1,0,0,0,0
1019,Champignon, [French] mushroom found as the champignon de Paris. Cultivated button-shaped white mushroom.,['Champignon'],['Champignon'],1,0,0,0,0
1020,Champignons," French word for mushrooms, generally of the button variety, used in the names of recipes and restaurant dishes.",['Champignons'],['Champignons'],1,0,0,0,0
1026,Chantilly, [French] This is a name for sweetened whipped cream flavored with vanilla. The term may also be used to describe sauces that have had whipped cream folded into them. This includes both sweet and savory sauces.,['Chantilly'],['Chantilly'],1,0,0,0,0
1029,Charcuterie," The French word for the variety of pork preparations that are cured, smoked, or processed. This includes sausages, hams, pates, and rillettes. This term may also imply the shop in which these products are sold and the butchers who produce it.",['Charcuterie'],['Charcuterie'],1,0,0,0,0
1035,Charlottes," A classic French molded dessert; the mold is lined with ladyfingers, sponge cake or bread, then filled with custard, Bavarian cream or whipped cream and/or fruit. It is chilled thoroughly and unmolded before serving. Apple charlottes are baked and served warm.",['Charlottes'],['Charlottes'],1,0,0,0,0
1037,Chasseur," [French] a sauce made with wine, mushrooms and shallots.",['Chasseur'],['Chasseur'],1,0,0,0,0
1065,Chef, (French) A culinary expert. The chief of the kitchen.,['Chef'],['Chef'],1,0,0,0,0
1076,Chevre Cheese," A French cheese made from goat's milk. Chevre is usually pure white with a tart flavor. Its texture ranges from dry and crumbly to moist and creamy. It comes in various sizes and shapes, sometimes garnished with black ash, leaves, herbs or pepper.","['Chevre', 'Cheese']","['Chevre', 'Cheese']",1,0,0,0,0
1077,Chevre," [French] goat, generally referring to goat's milk cheeses.",['Chevre'],['Chevre'],1,0,0,0,0
1097,Chiffonade," [French] a very fine julienne of vegetables usually associated with leafy herbs, lettuces, or greens.",['Chiffonade'],['Chiffonade'],1,0,0,0,0
1151,Chinois," [French] Chinese. Also refers to a ""China Cap,"" a very fine mesh, conical strainer.",['Chinois'],['Chinois'],1,0,0,0,0
1174,Choucroute," [French] an Alsatian specialty consisting of sauerkraut that is simmered with assorted fresh and smoked meats and sausages. This is a grand dish served on huge platters so that diners may witness all of the components displayed at one time. The kraut is first washed, then seasoned with garlic, caraway seeds, and white wine. The meats are layered in the casserole with the kraut and cooked until all the meat is tender and the flavors have blended together. Pork sausages, smoked pork shanks and shoulders, and fresh pork loin are all used. A variation of this, though not actually called a choucroute, is a whole pheasant cooked in sauerkraut with champagne. There are other recipes that consist of solely fish in with the sauerkraut. This can be quite delicious if properly prepared.",['Choucroute'],['Choucroute'],1,0,0,0,0
1179,Chowder," A thick soup or a stew made of shellfish, fish or vegetables. The term Î¥chowderÎ¦ comes from the French chaudi re, meaning Î¥boiler.Î¦ Fishermen cooked their food fresh from the sea in these large kettles.",['Chowder'],['Chowder'],1,0,0,0,0
1198,Citron," An oval-shaped fruit similar to a lemon (citron is the French term for lemon) but much larger and less acidic. As the pulp is extremely sour, citron is grown for its thick peel, which is candied and used in baking",['Citron'],['Citron'],1,0,0,0,0
1201,Civet," A French stew usually containing game, though duck and goose are used. The meat is marinated in red wine for long periods of time, then stewed with pearl onions and bacon. The sauce was once thickened with blood, but that is a method not used much anymore.",['Civet'],['Civet'],1,0,0,0,0
1256,Cocotte," [French] A small, straight sided metal, earthenware or porcelain baking dish with a cover, used for cooking eggs (in a pan of hot water) in the oven.",['Cocotte'],['Cocotte'],1,0,0,0,0
1261,Coddling, [French] cooking process whereby food is slowly simmered in water.,['Coddling'],['Coddling'],1,0,0,0,0
1315,Compote," [French] Dried and fresh fruit cooked with sugar to a jam like consistency, brief enough to allow the fruit to retain their individual identity. A deep bowl, often stemmed, from which such desserts and other foods are served.",['Compote'],['Compote'],1,0,0,0,0
1324,Concasse, [French] term for chopping a vegetable coarsely. This is used most often when referring to chopped tomatoes or other soft foods.,['Concasse'],['Concasse'],1,0,0,0,0
1329,Conde, [French] dessert made with rice; pastry biscuits topped with icing and glazed in the oven.,['Conde'],['Conde'],1,0,0,0,0
1334,Condiment, 1. Seasoning or flavoring mixture used to accompany foods. 2. The French term for chutney.,['Condiment'],['Condiment'],1,0,0,0,0
1344,Conserve, [French] whole fruit preserved by boiling with sugar and used like jam.,['Conserve'],['Conserve'],1,0,0,0,0
1408,Coq Au Vin," A French dish of chicken, mushrooms, onions, and bacon or salt pork cooked in red wine. ","['Coq', 'Au', 'Vin']","['Coq', 'Au', 'Vin']",1,0,0,0,0
1409,Coq au Vin," [French] a chicken stew flavored with red wine, bacon, mushrooms, and pearl onions.","['Coq', 'au', 'Vin']","['Coq', 'au', 'Vin']",1,0,0,0,0
1410,Coquille," [French] scallop; shell-shaped oven proof dish used to serve fish, shellfish or poultry.",['Coquille'],['Coquille'],1,0,0,0,0
1411,Coquilles St. Jacques, [French] scallops.,"['Coquilles', 'St.', 'Jacques']","['Coquilles', 'St.', 'Jacques']",1,0,0,0,0
1416,Cordon Bleu," [French] highly qualified cook. According to legend, King Louis XV of France once awarded a blue ribbon to a female chef who had prepared an outstanding meal; (United States) chicken stuffed with ham and white sauce.","['Cordon', 'Bleu']","['Cordon', 'Bleu']",1,0,0,0,0
1450,Cote, [French] chop or rib.,['Cote'],['Cote'],1,0,0,0,0
1456,Coulis," [French] a puree of fruit or vegetables, used as a sauce or flavoring agent to other sauces or soups. As sauces, they are thinned down just enough to reach the proper consistency, but not so much as to alter the intense flavor of the puree.",['Coulis'],['Coulis'],1,0,0,0,0
1458,Coupe, [French] a dish of ice cream.,['Coupe'],['Coupe'],1,0,0,0,0
1467,Courgette, [French] zucchini.,['Courgette'],['Courgette'],1,0,0,0,0
1475,Cr pe, A very thin delicate French pancake used for sweet and savory fillings.,"['Cr', 'pe']","['Cr', 'pe']",1,0,0,0,0
1476,Cr pes Suzette, [French] pancakes cooked in orange sauce and flamed in liqueur.,"['Cr', 'pes', 'Suzette']","['Cr', 'pes', 'Suzette']",1,0,0,0,0
1501,Creme Brulee, [French] cream custard with caramelized topping.,"['Creme', 'Brulee']","['Creme', 'Brulee']",1,0,0,0,0
1505,Creme," [French] Applied to fresh cream, butter and custard creams, and thick creamy soups.",['Creme'],['Creme'],1,0,0,0,0
1511,Crepe," The French term for pancake; thin and light, crepes are usually served with a variety of fillings. The egg and flour batter can be sweetened if a dessert crepe is desired, and filled with a jam or fruit mixture. Crepes can also be served as a first or main course, filled with a meat, cheese or vegetable mixture and topped with a complimentary sauce.",['Crepe'],['Crepe'],1,0,0,0,0
1516,Crevettes, [French] shrimps.,['Crevettes'],['Crevettes'],1,0,0,0,0
1527,Croque-Monsieur, The French version of a grilled ham and cheese sandwich with Gruyere cheese.,['Croque-Monsieur'],['Croque-Monsieur'],1,0,0,0,0
1535,Croutes," [French] pastry covering meat, fish and vegetables; slices of bread or brioche, spread with butter or sauce, and baked until crisp.",['Croutes'],['Croutes'],1,0,0,0,0
1570,Cuisse, [French] thigh or leg.,['Cuisse'],['Cuisse'],1,0,0,0,0
1571,Cuisson," 1. The French term for cooking; used to explain culinary processes and details, especially cooking times. 2. Poaching liquid (such as stock, fumet, court bouillon or other liquid) that can be reduced and used as a base for the poached item's sauce.",['Cuisson'],['Cuisson'],1,0,0,0,0
1632,Darne," [French] The Larousse Gastronomique describes a 'darne' as a transverse slice of a large raw fish, such as hake, salmon or tuna.",['Darne'],['Darne'],1,0,0,0,0
1645,Daube," A classic French stew or pot roast consisting of a single piece of meat such as a shoulder or joint. The meat is stewed in a rich, wine laden broth with herbs and vegetables. The broth is then thickened, reduced and served with the slices of meat and accompanying vegetables.",['Daube'],['Daube'],1,0,0,0,0
1689,Demi-Glace," [French] a rich brown sauce comprised of espagnole sauce, which is further enriched with veal stock and wine and reduced to proper consistency. This is a very long procedure and requires constant skimming. A quick version of this involves reducing brown veal stock to which has been added mirepoix, tomato paste, wine, and brown roux. The latter recipe saves time, but never reaches the intensity of flavor as does the former method. Due to the quantity and length of time required to prepare it, it is not usually made in the home. However it is available for home gourmands.",['Demi-Glace'],['Demi-Glace'],1,0,0,0,0
1831,Du Jour," French term meaning ""of the day""; used to indicate a special menu item.","['Du', 'Jour']","['Du', 'Jour']",1,0,0,0,0
1861,Eau-de-vie," [French] ""water of life,"" describes any colorless brandy distilled from fermented fruit juice. Kirsch (cherry) and framboise (raspberry) are two popular varieties.",['Eau-de-vie'],['Eau-de-vie'],1,0,0,0,0
1865,Eclair," [French] a small finger-shaped bun made of puff paste with a glace icing, filled with custard or whipped cream.",['Eclair'],['Eclair'],1,0,0,0,0
1868,Ecrivisses, [French] crayfish.,['Ecrivisses'],['Ecrivisses'],1,0,0,0,0
1925,En crocite, [French] food encased in pastry.,"['En', 'crocite']","['En', 'crocite']",1,0,0,0,0
1928,En Papilotte," [French] Food wrapped, cooked and served in oiled or buttered paper or foil.","['En', 'Papilotte']","['En', 'Papilotte']",1,0,0,0,0
1955,Epinards, [French]  spinach.,['Epinards'],['Epinards'],1,0,0,0,0
1967,Espresso," This thick, strong coffee is made from French or Italian roast -  beans with a shiny, dark oily surface.",['Espresso'],['Espresso'],1,1,0,0,0
1975,Etouffee," The French term a l'etouffee, meaning ""to smother or suffocate,"" refers to a method in which foods are cooked over low heat with a minimal amount of liquid in a tightly covered pan. Example",['Etouffee'],['Etouffee'],1,0,0,0,0
1976,etouffee, French for smothered and refers to a stewed dish cooked little liquid in a tightly closed pot. Usually served over white rice.,['etouffee'],['etouffee'],1,0,0,0,0
2006,Faggot," [French] a stalk of celery tied with parsley, bay leaf and thyme. Used in cooking soups, then discarded; Small savory cake made of pork offal, onion and bread, then baked.",['Faggot'],['Faggot'],1,0,0,0,0
2014,Farce, [French] forcemeat.,['Farce'],['Farce'],1,0,0,0,0
2015,Farci, [French] stuffed.,['Farci'],['Farci'],1,0,0,0,0
2055,Ficelle," [French] string. This term is used in cooking to describe foods that have been tied to a string and cooked in a broth. This was a practice in villages when a communal pot was used to cook food. The string was used in order to allow the owners to identify and recover their piece of meat. This is generally applied to tough cuts of meat that require long periods of cooking. Yet, some restaurants are using the term to describe a more tender cut of meat that is poached in a rich broth. Beef filet and duck breasts are two good choices for this type of preparation.",['Ficelle'],['Ficelle'],1,0,0,0,0
2101,Flageolets," A French kidney-shaped bean, generally available in the United States dried or canned; often used as an accompaniment to lamb.",['Flageolets'],['Flageolets'],1,0,0,0,0
2104,Flamb," [French] served flaming, accomplished by pouring spirits over food and igniting them.",['Flamb'],['Flamb'],1,0,0,0,0
2109,Flan," This is a term that may be used to describe two different preparations. The first use of this word is describes an open top tart that is filled with pastry cream and topped with fruit. Flan is used in Spanish and Mexican cooking to describe an egg custard that is baked in a large shallow dish, and flavored with caramel. The dish is inverted when served and the excess caramel is used as a sauce for the flan. The flan may be flavored with orange, anise, cinnamon, or liqueur. [Spanish] traditional Mexican and Southwestern baked caramel custard dessert; similar to the French ""creme caramel"" or ""creme brulee.""",['Flan'],['Flan'],1,0,0,1,1
2121,Fleur de sel," [French] ""flower of the salt."" A rare sea salt harvested by hand in Brittany, France and available only in limited quantities. Composed of the natural crystal formations found on the surface of a salt marsh. The crystals are sun-dried only, thereby maintaining many of the nutrients not found in typical prepared salts. Fleur de Sel's unrefined nature lends itself to be served as a condiment, rather than a seasoning, adding both texture and flavor to a meal.","['Fleur', 'de', 'sel']","['Fleur', 'de', 'sel']",1,0,0,0,0
2130,Florentine," [French] This is used to describe foods that are cooked in the style of Florence. The word is most commonly associated with dishes containing spinach and sometimes a cream sauce. Steak cooked ala Florentine is a large T-bone steak, rubbed with olive oil and garlic, grilled and served with fresh lemon on the side.",['Florentine'],['Florentine'],1,0,0,0,0
2143,Foie Gras," [French] literally translated, ""fat liver""; but the term is used to describe the fattened liver of both duck and geese. The birds are force fed a rich mixture to help expedite this process. The largest production of commercial foie gras is done in France and Israel. The US will only allow this product to be imported in a cooked stage, either canned, vacuum-sealed, or frozen. These are inferior products and will never highlight the true delicacy of foie gras.","['Foie', 'Gras']","['Foie', 'Gras']",1,0,0,0,0
2178,Fraises, [French] strawberries.,['Fraises'],['Fraises'],1,0,0,0,0
2179,Framboise, [French] a raspberry-flavored liqueur with a high alcohol content. ,['Framboise'],['Framboise'],1,0,0,0,0
2189,Frappe," (from the French frappe) A simple sugar syrup mixed with fruit or other flavorings and frozen, then processed to a slightly slushy consistency. It can be served as a drink or a dessert. In some parts of the United States, a milk shake is sometimes referred to as a frappe. ",['Frappe'],['Frappe'],1,0,0,0,0
2222,Fricadillee," [French] meat balls, made with minced pork and veal, spices, white bread crumbs, cream and egg, then poached in stock or shallow-fried in a pan.",['Fricadillee'],['Fricadillee'],1,0,0,0,0
2223,Fricass e," [French] stew made of chicken or veal cut into pieces and cooked in a gravy. Though chicken is the most common form of this type of stew, fish, vegetables, and other meats are prepared in this manner.","['Fricass', 'e']","['Fricass', 'e']",1,0,0,0,0
2240,Fromage Blanc," A simple French white cheese. This soft, fresh cream cheese has the consistency of sour cream. Fromage blanc is usually eaten with fruit and sugar as dessert, but it can also be used in cooking.","['Fromage', 'Blanc']","['Fromage', 'Blanc']",1,0,0,0,0
2241,Fromage, A French cheese.,['Fromage'],['Fromage'],1,0,0,0,0
2269,Fumet," [French] an aromatic broth made for use in soups and sauces. The flavor of a fumet is usually concentrated on one item, though multiple ingredients may be used. The stock is then reduced to concentrate this flavor. Fish and vegetable broths are more commonly called fumets, but meat may also be used.",['Fumet'],['Fumet'],1,0,0,0,0
2280,Galantine," [French] A pate-like dish made of the skin of a small animal, most often chicken or duck, which is stuffed with a forcemeat of this animal. Additional strips of meat, blanched vegetables, and truffles are also layered with the forcemeat. This is then wrapped or tied and poached in broth. Galantine are always served cold with their aspic, whereas ballottines may be hot or cold. These terms are often used interchangeably.",['Galantine'],['Galantine'],1,0,0,0,0
2281,Galette," [French] pancake; usually sweet, made of batters, doughs, or potatoes. Brioche-type dough or puff pastry are often used. Small short butter cookies were once also called galettes. The term has now been stretched to include preparations made of vegetables or fish. Different from a croquette, these cakes are not breaded.",['Galette'],['Galette'],1,0,0,0,0
2305,Gateau, [French] cake,['Gateau'],['Gateau'],1,0,0,0,0
2306,Gateaux, French for cake.,['Gateaux'],['Gateaux'],1,0,0,0,0
2318,Gele, [French] jellied; iced.,['Gele'],['Gele'],1,0,0,0,0
2330,Genoise," [French] a very rich sponge cake made with eggs and butter. This may be eaten as is with whipped cream or fruit, but also used as the foundation for many other cake preparations.",['Genoise'],['Genoise'],1,0,0,0,0
2344,Glace de Viande, [French] Meat glaze or residue in the bottom of a pan after roasting or frying meat; concentrated meat stock.,"['Glace', 'de', 'Viande']","['Glace', 'de', 'Viande']",1,0,0,0,0
2345,Glace," [French] a highly reduced stock used as an essence in flavoring sauces and enriching soups and stews. Veal glace is used for all meat preparations and stands up the best to the long reduction required. Fish and shellfish glaces are used, but their flavor can become dirty tasting and bitter from too long of a reduction.",['Glace'],['Glace'],1,0,0,0,0
2371,Gorgonzola," [Italian] cheese made from cow's milk cheese that is white or yellow and streaked with blue. It has a distinct aroma and can have a mellow, strong, or sharp flavor, depending on its degree of maturity. Similar to American blue and French Roquefort cheeses.",['Gorgonzola'],['Gorgonzola'],1,1,0,0,0
2375,Goujon, [French] Gudgeons -  small fish fried and served as a garnish.,['Goujon'],['Goujon'],1,0,0,0,0
2379,Gourmet," French term meaning ""connoisseur of culinary delights"".",['Gourmet'],['Gourmet'],1,0,0,0,0
2384,Grand Marnier," [French] Orange-flavored, cognac based liqueur produced in France.","['Grand', 'Marnier']","['Grand', 'Marnier']",1,0,0,0,0
2387,Graniti," [French] sorbet, grained and flavored ice.",['Graniti'],['Graniti'],1,0,0,0,0
2399,Gras, [French] fat.,['Gras'],['Gras'],1,0,0,0,0
2402,"Gratin, au", [French] dishes cooked in the oven which form a crust on the surface. This is expedited by placing the dish under the broiler. Bread crumbs and cheese are often sprinkled on top of these dishes to help form the crust.,"['Gratin,', 'au']","['Gratin,', 'au']",1,0,0,0,0
2423,Grenouilles," [French] frogs, frogs' legs.",['Grenouilles'],['Grenouilles'],1,0,0,0,0
2471,Guiche, [French] Alsatian open tart with savory filling on top of cream and eggs. Equivalent to quiche.,['Guiche'],['Guiche'],1,0,0,0,0
2519,Haricots vert," Very small and slender green bean [syn:  haricot vert, French bean]","['Haricots', 'vert']","['Haricots', 'vert']",1,0,0,0,0
2529,Hash," From the French hatcher, which means ""to chop,"" hash is a dish of chopped meat, usually roast beef or corned beef, combined with vegetables and seasonings and saut ed until lightly browned. It is frequently served with a sauce or gravy.",['Hash'],['Hash'],1,0,0,0,0
2533,Haute Cuisine," French term for the highest quality restaurant food available. The ingredients in this cuisine are not only of the finest quality, but the food is elegant and elaborate as well.","['Haute', 'Cuisine']","['Haute', 'Cuisine']",1,0,0,0,0
