,Name,Description,Name_Tokens,Description_Tokens,is_French,is_Italian,is_Polish,is_Mexican,is_Spanish
1164,"Chocolate, Mexican"," block Mexican chocolate; frequently contains cinnamon, vanilla, clove and ground almonds; Ibarra is one of the best brands.","['Chocolate,', 'Mexican']","['Chocolate,', 'Mexican']",0,0,0,1,0
1172,Chorizo," A spicy pork sausage from all Hispanic countries, ranging in seasoning from mild and sweet to fiercely hot. Hotter versions come from areas of Spain and Portugal. Mexican versions contain a large variety of chiles and have a mealier texture and more complex flavor. Some of them even use fresh herbs giving it a green color. Portugal makes a cousin to this sausage called the linguisa, that is smoked and much hotter. Spicy sausage made with pork, garlic and red chile powder, available both in bulks and in links; Mexican chorizo is sold fresh and is often cooked to add to fillings and egg dishes.",['Chorizo'],['Chorizo'],0,0,0,1,0
1187,Chupati," Flat bread from northern India, made with wheat and resembling a Mexican tortilla.",['Chupati'],['Chupati'],0,0,0,1,0
1188,Churros," [Spanish] deep-fried cakes named for the shaggy, long-haired Mexican sheep they resemble.",['Churros'],['Churros'],0,0,0,1,1
1191,Cilantro," A green herb, similar in appearance to parsley. Also sold dry as seeds, leaves and ground. An essential ingredient to Asian and Mexican dishes. It can be found in Asian as well as Mexican markets and most large supermarkets. Also known as fresh coriander, Mexican parsley and Chinese parsley. It resembles flat-leaf parsley, but the flavor is strong and fresh; the seeds are known as coriander; cilantro is commonly used in salsas and soups; was first introduced to the Mexican Indians by the Spanish.",['Cilantro'],['Cilantro'],0,0,0,1,1
1192,Cinnamon," Known in spanish as canela; the inner back from shoots of a tree called ""Cinnamomum zeylanicum""; used in Mexican dishes that are sweet and savory; available in tightly rolled dry quills (sticks) or ground.",['Cinnamon'],['Cinnamon'],0,0,0,1,0
1327,Conchas, Mexican sweet-topped buns; named for the seashell design drawn in the topping.,['Conchas'],['Conchas'],0,0,0,1,0
1920,Empanaditas, Tiny turnovers; traditional New Mexican Christmas food when filled with a Southwestern version of mincemeat.,['Empanaditas'],['Empanaditas'],0,0,0,1,0
1954,Epazote," Strong, bitter perennial herb used primarily to flavor beans; also known as Mexican tea, stinkweed, pigweed, wormseed or goosefoot; occasionally mistaken for lamb's lettuce; grows wild in the United States and Mexico; flavor is intense, reminiscent of eucalyptus; used for tea, stews, soups, green pipi ns and moles; cooked with all types of beans to reduce their gaseous qualities.",['Epazote'],['Epazote'],0,0,0,1,0
1974,Ethnic foods (food industry term)," Products that a particular ethnic (racial, national) or cultural group favor, such as Mexican, Chinese or kosher foods. ","['Ethnic', 'foods', '(food', 'industry', 'term)']","['Ethnic', 'foods', '(food', 'industry', 'term)']",0,0,0,1,0
2109,Flan," This is a term that may be used to describe two different preparations. The first use of this word is describes an open top tart that is filled with pastry cream and topped with fruit. Flan is used in Spanish and Mexican cooking to describe an egg custard that is baked in a large shallow dish, and flavored with caramel. The dish is inverted when served and the excess caramel is used as a sauce for the flan. The flan may be flavored with orange, anise, cinnamon, or liqueur. [Spanish] traditional Mexican and Southwestern baked caramel custard dessert; similar to the French ""creme caramel"" or ""creme brulee.""",['Flan'],['Flan'],1,0,0,1,1
2228,Frijoles," [Spanish] beans; usually refers to stewed pinto beans; varieties are Anasazi, black turtle, bollito, pinto or red (Mexican strawberry).",['Frijoles'],['Frijoles'],0,0,0,1,1
2289,Garbanzo beans, Also known as ceci or chickpeas. Very popular legume utilized in Mediterranean and Mexican cuisine.,"['Garbanzo', 'beans']","['Garbanzo', 'beans']",0,0,0,1,0
2296,"Garlic, Mexican", Mexican garlic has a dark pink-blue hue to the husk and is sharper than white garlic; usually mashed or roasted for Southwestern cooking.,"['Garlic,', 'Mexican']","['Garlic,', 'Mexican']",0,0,0,1,0
2461,Guajillo chiles," Also known as chili gauque; fresh guajillo chiles are known as mirasol chiles; medium-hot Mexican orange-red chiles; skinny and about four to six inches long; used in stews, soups, sauces; go well with chicken and pork dishes, blackberry and apple flavors, and grassy herbs such as marjoram and thyme; New Mexico chiles may be substituted.","['Guajillo', 'chiles']","['Guajillo', 'chiles']",0,0,0,1,0
2633,Huevos Rancheros," A Mexican dish that contains fried eggs on a corn tortilla topped by a green or red chile sauce, salsa, onions and cheese. ","['Huevos', 'Rancheros']","['Huevos', 'Rancheros']",0,0,0,1,0
2634,Huevos rancheros, [Spanish] ranch-style eggs. A Mexican dish of fried eggs served atop a tortilla and covered with a tomato sauce.,"['Huevos', 'rancheros']","['Huevos', 'rancheros']",0,0,0,1,1
2653,Ibarra chocolate," The traditional Mexican chocolate; contains cinnamon, ground almonds and sugar; the modern version of an Aztec chocolate drink that sometimes contained chiles; ideal for making hot chocolate, but should not be substituted for regular chocolate in most other recipes; there are a few dessert recipes which call for Ibarra chocolate; can be purchased in most grocery stores throughout the Southwest.","['Ibarra', 'chocolate']","['Ibarra', 'chocolate']",0,0,0,1,0
2803,Jicama," Nicknamed yam bean and Mexican potato; a low-calorie thick brown-skinned root vegetable with white crunchy flesh that tastes like a cross between a water chestnut and a potato; after the fibrous skin has been pared away, jicama flesh will not discolor; primarily used in salads; when eaten raw, it is usually sprinkled with lime juice and chili powder; the smaller jicama are the most sweet and moist. Its flavor is mild and sweet. It is a fair source for vitamin C and potassium.",['Jicama'],['Jicama'],0,0,0,1,0
2809,Jocoque," [Mexican] sour cream that has equal or less fat content than American sour cream. Also referred to as salted buttermilk, although thicker. Its flavors range from mildly tangy to refreshingly sharp.",['Jocoque'],['Jocoque'],0,0,0,1,0
2832,Kahlua, dark Mexican coffee liqueur.,['Kahlua'],['Kahlua'],0,0,0,1,0
3011,Limon, [Spanish] Lemon; in Mexico it usually refers to the small tart Mexican lime.,['Limon'],['Limon'],0,0,0,1,1
3133,Manteca, [Spanish] lard; fat; probably the most frequently used ingredient in traditional Mexican cooking; has approximately half the cholesterol of butter; fresh rendered lard is best; it is usually best to substitute vegetable shortening unless fresh lard is available.,['Manteca'],['Manteca'],0,0,0,1,1
3181,Masa Harina," Instant corn flour, dough flour; a product developed by the Quaker Oats Company at the request of the Mexican government; used to make dough for tamales and corn tortillas; uncooked corn kernels that have been ground into flour.","['Masa', 'Harina']","['Masa', 'Harina']",0,0,0,1,0
3222,Menudo," [Spanish] tripe and cow's foot soup or stew; fiery Mexican ""hangover cure,"" traditionally eaten on Saturday and Sunday; traditional dish for New Year's Day; normally served with lime wedges, oregano, red pepper flakes and hot tortillas.",['Menudo'],['Menudo'],0,0,0,1,1
3282,Mirasol chiles," Mirasol means looking at the sun; also called chile travieso, or naughty chile; the dried pods are used like dried red New Mexican chiles in corn dishes, meat dishes, sauces and stews; when fresh and green, it can be substituted for the serrano chile mochomos:  cooked or roasted meat, shredded and fried crisp.","['Mirasol', 'chiles']","['Mirasol', 'chiles']",0,0,0,1,0
3308,Mojo," [Mexican] A spicy, rich sauce consisting of nuts, seeds, spices, chocolate, and peppers.",['Mojo'],['Mojo'],0,0,0,1,0
3310,Molcajete Y Tejolete, The Mexican term for mortar (molcajete) and pestle (tejolete); sometimes made from volcanic rock. ,"['Molcajete', 'Y', 'Tejolete']","['Molcajete', 'Y', 'Tejolete']",0,0,0,1,0
3315,Mole," [Spanish] taken from the Nahuatl word ""Molli,"" meaning concoction; an assortment of thick sauces used in Mexican cooking made of chiles. These sauces are made with one or many chiles, and flavored with cumin, coriander, cinnamon, nuts, seeds, and chocolate. one of the most common ingredients of mole sauce is chocolate; one of the oldest known sauces. Their flavor is rich, smoky, and very complex. Some recipes are made with fresh herbs and have a green color. Chicken, turkey, and pork are then simmered in this sauce.",['Mole'],['Mole'],0,0,0,1,1
3367,Mulato chile," A dried chile; in Mexican cooking it refers to the chile mulato, a dark black-brown dried chile famous for its use in Mole Poblano; tastes of licorice, chocolate and dried fruit; used in many dark moles; if unavailable, use anchos or pasillas.","['Mulato', 'chile']","['Mulato', 'chile']",0,0,0,1,0
3541,Olla, Common Mexican pot which is tall and tapered inward on the top; it is shaped especially for cooking beans; stockpots and saucepans are good substitutes.,['Olla'],['Olla'],0,0,0,1,0
3573,Or gano," Mexican oregano; wild marjoram; also called wild, bastard or dwarf marjoram; used to season many foods, particularly sauces and soups; plants grow wild in the Southwest; best substitute is marjoram or sage.","['Or', 'gano']","['Or', 'gano']",0,0,0,1,0
3690,Panocha, Mexican brown sugar.,['Panocha'],['Panocha'],0,0,0,1,0
3878,Physical inventory (food industry term)," [Mexican] ""beak of the rooster""; salsa cruda; very hot, raw salsa with tomatoes, onions, cilantro and serrano chiles; called salsa m xicana in Mexico.","['Physical', 'inventory', '(food', 'industry', 'term)']","['Physical', 'inventory', '(food', 'industry', 'term)']",0,0,0,1,0
3891,Pickle, Mexican paprika; similar in taste to New Mexico ground red mild chile peppers.,['Pickle'],['Pickle'],0,0,0,1,0
3908,Pilaf, A medium-sized pale pink bean with reddish-brown streaks; available dried; also known as a crabeye bean and a red Mexican bean. ,['Pilaf'],['Pilaf'],0,0,0,1,0
3909,Pilferage (food industry term)," Name taken from pintar (to paint); reddish-brown speckled beans that turn pink when cooked; used in traditional Mexican cookery; when a recipe title says ""frijoles,"" it is most likely referring to pinto beans. Pinto beans make great refried beans; they are also good for beans and rice, chili, or served as a puree.","['Pilferage', '(food', 'industry', 'term)']","['Pilferage', '(food', 'industry', 'term)']",0,0,0,1,0
4165,Queso Fresco Cheese," A fresh Mexican cheese similar to farmer cheese or cottage cheese. This white, slightly salty cheese is available in Latin markets and many supermarkets; also called queso blanco.","['Queso', 'Fresco', 'Cheese']","['Queso', 'Fresco', 'Cheese']",0,0,0,1,0
4235,Red Beans," Dark red beans similar to red kidney beans, but smaller; popular in chili and as refried beans. They stay firm when cooked and are excellent when accompanying rice. They are available dried in most supermarkets; also known as Mexican Red Beans.","['Red', 'Beans']","['Red', 'Beans']",0,0,0,1,0
4236,Red beans," Sometimes referred to as ""the Mexican strawberry"" in the Southwest; brighter in color than the pinto bean and lacks the surface streaks of the slightly smaller pinto bean; similar to and interchangeable with pinto beans. Medium-size, dark red beans akin to kidneys and pintos.","['Red', 'beans']","['Red', 'beans']",0,0,0,1,0
4399,Rompope, Mexican eggnog.,['Rompope'],['Rompope'],0,0,0,1,0
4467,Salpicon," [Spanish] shredded or finely cut; Mexican shredded meat salad; hash. Cooked food cut into tiny pieces, usually as a filling for pastry.",['Salpicon'],['Salpicon'],0,0,0,1,1
5055,Taco," [Mexican] wad or mouthful; fried, toasted or baked tortilla with filling rolled or folded inside. It has either a soft or crisp fried shell.",['Taco'],['Taco'],0,0,0,1,0
5107,Tejano, [Spanish] Texan; often refers to the early Mexican settlers in Texas.,['Tejano'],['Tejano'],0,0,0,1,1
5124,Tepin," [Spanish] a dried chile; chile tepin; wild form of the pequ n, it grows along the Mexican and U.S. border; round, measuring about 1/2 inch across; have a searing, dry heat; used in sauces, salsas and stews; Substitute pequ ns if these are not available.",['Tepin'],['Tepin'],0,0,0,1,1
5174,Tomate verde, Mexican green tomato.,"['Tomate', 'verde']","['Tomate', 'verde']",0,0,0,1,0
5193,Tortilla," [Latin American] a very thin Mexican bread made of corn or wheat flour. They are served both soft and fried. A round, flat unleavened bread made from a dough of wheat flour or corn flour; the staple of all Latin American cookery.",['Tortilla'],['Tortilla'],0,0,0,1,0
5197,Tortillas," An unleavened Mexican bread, tortillas are flat and round. They may be made with flour or masa (corn flour).",['Tortillas'],['Tortillas'],0,0,0,1,0
5209,"Totopos, tostaditas", [Spanish] southern Mexican term for tortilla chips.,"['Totopos,', 'tostaditas']","['Totopos,', 'tostaditas']",0,0,0,1,1
5416,Vigo Coloring," Common substitute for the yellow color of saffron. Can be found in small envelopes in any Latin American, Mexican, or Cuban market.","['Vigo', 'Coloring']","['Vigo', 'Coloring']",0,0,0,1,0
